key,targname,tarkey1,type,equinox,obs_time,ra_targ,dec_targ,ra_calc,dec_calc,offset_arcsec,epoch_gap_yr,nongrav,other,has_lv2
8876/u6aj1201r_shm.fits,LINEAR-OFF1,Comet,COMET,J2000,05-AUG-2000:11:00:07,185.722091,2.566353,185.707405,2.557599,61.506,0.00,False,False,True
14474/id3a01j1q_spt.fits,P2010V1-D-OFFSET,COMET,COMET,J2000,26-JAN-2016:13:14:28,136.278553,36.904956,136.297956,36.898467,60.547,1.26,False,False,True
8276/o67r01010_spt.fits,LINEAR,Comet,COMET,J2000,05-JUL-2000:19:03:51,43.274184,47.926995,43.286197,47.938080,49.317,0.08,False,False,False
8876/u6aj1101r_shm.fits,LINEAR,Comet,COMET,J2000,05-AUG-2000:04:31:07,185.535161,3.035916,185.539888,3.024099,45.809,0.00,False,False,False
16929/iets01jyq_spt.fits,C2021-A1,COMET,COMET,J2000,05-APR-2022:23:39:26,314.379436,-35.810414,314.363909,-35.809081,45.585,0.73,True,False,False
14257/ocyg34010_spt.fits,C2013US10,COMET,COMET,J2000,19-DEC-2015:22:34:50,214.292229,2.605042,214.291841,2.617590,45.192,1.13,False,False,False
17830/ifkp03eeq_spt.fits,3I-ATLAS-OCT29,COMET,COMET,J2000,30-NOV-2025:19:06:02,180.631009,0.396318,180.619823,0.398169,40.819,0.35,True,False,False
12792/ibwz01gpq_spt.fits,LOVEJOY,COMET,COMET,J2000,07-JAN-2012:06:14:47,263.153780,-83.192703,263.172615,-83.202978,37.853,0.00,False,False,False
16929/iets04kuq_spt.fits,C2021-A1-B,COMET,COMET,J2000,07-JUN-2022:16:39:27,268.291851,-37.298446,268.284893,-37.290009,36.326,0.91,True,False,False
16089/ie8x01cvq_spt.fits,C2019Y4-OFFSET,COMET,COMET,J2000,20-APR-2020:10:18:20,90.259599,64.319926,90.236603,64.318772,36.115,0.12,False,False,True
